PassengerId,TicketNumber,Cabin,Pclass,Sex,Embarked,Survived,Age,Age_bucket,TicketFare(pound)
1,A/5 21171,,class3,male,Southampton,dead,22,(20_30],7.25
2,PC 17599,C85,class1,female,Cherbourgherbourg,survival,38,(30_40],71.2833
3,STON/O2. 3101282,,class3,female,Southampton,survival,26,(20_30],7.925
4,113803,C123,class1,female,Southampton,survival,35,(30_40],53.1
5,373450,,class3,male,Southampton,dead,35,(30_40],8.05
6,330877,,class3,male,Queenstown,dead,0,NA,8.4583
7,17463,E46,class1,male,Southampton,dead,54,(50_60],51.8625
8,349909,,class3,male,Southampton,dead,2,(0_10],21.075
9,347742,,class3,female,Southampton,survival,27,(20_30],11.1333
10,237736,,class2,female,Cherbourgherbourg,survival,14,(10_20],30.0708
11,PP 9549,G6,class3,female,Southampton,survival,4,(0_10],16.7
12,113783,C103,class1,female,Southampton,survival,58,(50_60],26.55
13,A/5. 2151,,class3,male,Southampton,dead,20,(10_20],8.05
14,347082,,class3,male,Southampton,dead,39,(30_40],31.275
15,350406,,class3,female,Southampton,dead,14,(10_20],7.8542
16,248706,,class2,female,Southampton,survival,55,(50_60],16
17,382652,,class3,male,Queenstown,dead,2,(0_10],29.125
18,244373,,class2,male,Southampton,survival,0,NA,13
19,345763,,class3,female,Southampton,dead,31,(30_40],18
20,2649,,class3,female,Cherbourgherbourg,survival,0,NA,7.225
21,239865,,class2,male,Southampton,dead,35,(30_40],26
22,248698,D56,class2,male,Southampton,survival,34,(30_40],13
23,330923,,class3,female,Queenstown,survival,15,(10_20],8.0292
24,113788,A6,class1,male,Southampton,survival,28,(20_30],35.5
25,349909,,class3,female,Southampton,dead,8,(0_10],21.075
26,347077,,class3,female,Southampton,survival,38,(30_40],31.3875
27,2631,,class3,male,Cherbourgherbourg,dead,0,NA,7.225
28,19950,C23 C25 C27,class1,male,Southampton,dead,19,(10_20],263
29,330959,,class3,female,Queenstown,survival,0,NA,7.8792
30,349216,,class3,male,Southampton,dead,0,NA,7.8958
31,PC 17601,,class1,male,Cherbourgherbourg,dead,40,(30_40],27.7208
32,PC 17569,B78,class1,female,Cherbourgherbourg,survival,0,NA,146.5208
33,335677,,class3,female,Queenstown,survival,0,NA,7.75
34,C.A. 24579,,class2,male,Southampton,dead,66,NA,10.5
35,PC 17604,,class1,male,Cherbourgherbourg,dead,28,(20_30],82.1708
36,113789,,class1,male,Southampton,dead,42,(40_50],52
37,2677,,class3,male,Cherbourgherbourg,survival,0,NA,7.2292
38,A./5. 2152,,class3,male,Southampton,dead,21,(20_30],8.05
39,345764,,class3,female,Southampton,dead,18,(10_20],18
40,2651,,class3,female,Cherbourgherbourg,survival,14,(10_20],11.2417
41,7546,,class3,female,Southampton,dead,40,(30_40],9.475
42,11668,,class2,female,Southampton,dead,27,(20_30],21
43,349253,,class3,male,Cherbourgherbourg,dead,0,NA,7.8958
44,SC/Paris 2123,,class2,female,Cherbourgherbourg,survival,3,(0_10],41.5792
45,330958,,class3,female,Queenstown,survival,19,(10_20],7.8792
46,S.C./A.4. 23567,,class3,male,Southampton,dead,0,NA,8.05
47,370371,,class3,male,Queenstown,dead,0,NA,15.5
48,14311,,class3,female,Queenstown,survival,0,NA,7.75
49,2662,,class3,male,Cherbourgherbourg,dead,0,NA,21.6792
50,349237,,class3,female,Southampton,dead,18,(10_20],17.8
51,3101295,,class3,male,Southampton,dead,7,(0_10],39.6875
52,A/4. 39886,,class3,male,Southampton,dead,21,(20_30],7.8
53,PC 17572,D33,class1,female,Cherbourgherbourg,survival,49,(40_50],76.7292
54,2926,,class2,female,Southampton,survival,29,(20_30],26
55,113509,B30,class1,male,Cherbourgherbourg,dead,65,NA,61.9792
56,19947,C52,class1,male,Southampton,survival,0,NA,35.5
57,C.A. 31026,,class2,female,Southampton,survival,21,(20_30],10.5
58,2697,,class3,male,Cherbourgherbourg,dead,28.5,(20_30],7.2292
59,C.A. 34651,,class2,female,Southampton,survival,5,(0_10],27.75
60,CA 2144,,class3,male,Southampton,dead,11,(10_20],46.9
61,2669,,class3,male,Cherbourgherbourg,dead,22,(20_30],7.2292
62,113572,B28,class1,female,null,survival,38,(30_40],80
63,36973,C83,class1,male,Southampton,dead,45,(40_50],83.475
64,347088,,class3,male,Southampton,dead,4,(0_10],27.9
65,PC 17605,,class1,male,Cherbourgherbourg,dead,0,NA,27.7208
66,2661,,class3,male,Cherbourgherbourg,survival,0,NA,15.2458
67,C.A. 29395,F33,class2,female,Southampton,survival,29,(20_30],10.5
68,S.P. 3464,,class3,male,Southampton,dead,19,(10_20],8.1583
69,3101281,,class3,female,Southampton,survival,17,(10_20],7.925
70,315151,,class3,male,Southampton,dead,26,(20_30],8.6625
71,C.A. 33111,,class2,male,Southampton,dead,32,(30_40],10.5
72,CA 2144,,class3,female,Southampton,dead,16,(10_20],46.9
73,S.O.C. 14879,,class2,male,Southampton,dead,21,(20_30],73.5
74,2680,,class3,male,Cherbourgherbourg,dead,26,(20_30],14.4542
75,1601,,class3,male,Southampton,survival,32,(30_40],56.4958
76,348123,F G73,class3,male,Southampton,dead,25,(20_30],7.65
77,349208,,class3,male,Southampton,dead,0,NA,7.8958
78,374746,,class3,male,Southampton,dead,0,NA,8.05
79,248738,,class2,male,Southampton,survival,0.83,(0_10],29
80,364516,,class3,female,Southampton,survival,30,(20_30],12.475
81,345767,,class3,male,Southampton,dead,22,(20_30],9
82,345779,,class3,male,Southampton,survival,29,(20_30],9.5
83,330932,,class3,female,Queenstown,survival,0,NA,7.7875
84,113059,,class1,male,Southampton,dead,28,(20_30],47.1
85,SO/C 14885,,class2,female,Southampton,survival,17,(10_20],10.5
86,3101278,,class3,female,Southampton,survival,33,(30_40],15.85
87,W./C. 6608,,class3,male,Southampton,dead,16,(10_20],34.375
88,SOTON/OQ 392086,,class3,male,Southampton,dead,0,NA,8.05
89,19950,C23 C25 C27,class1,female,Southampton,survival,23,(20_30],263
90,343275,,class3,male,Southampton,dead,24,(20_30],8.05
91,343276,,class3,male,Southampton,dead,29,(20_30],8.05
92,347466,,class3,male,Southampton,dead,20,(10_20],7.8542
93,W.E.P. 5734,E31,class1,male,Southampton,dead,46,(40_50],61.175
94,C.A. 2315,,class3,male,Southampton,dead,26,(20_30],20.575
95,364500,,class3,male,Southampton,dead,59,(50_60],7.25
96,374910,,class3,male,Southampton,dead,0,NA,8.05
97,PC 17754,A5,class1,male,Cherbourgherbourg,dead,71,NA,34.6542
98,PC 17759,D10 D12,class1,male,Cherbourgherbourg,survival,23,(20_30],63.3583
99,231919,,class2,female,Southampton,survival,34,(30_40],23
100,244367,,class2,male,Southampton,dead,34,(30_40],26
101,349245,,class3,female,Southampton,dead,28,(20_30],7.8958
102,349215,,class3,male,Southampton,dead,0,NA,7.8958
103,35281,D26,class1,male,Southampton,dead,21,(20_30],77.2875
104,7540,,class3,male,Southampton,dead,33,(30_40],8.6542
105,3101276,,class3,male,Southampton,dead,37,(30_40],7.925
106,349207,,class3,male,Southampton,dead,28,(20_30],7.8958
107,343120,,class3,female,Southampton,survival,21,(20_30],7.65
108,312991,,class3,male,Southampton,survival,0,NA,7.775
109,349249,,class3,male,Southampton,dead,38,(30_40],7.8958
110,371110,,class3,female,Queenstown,survival,0,NA,24.15
111,110465,C110,class1,male,Southampton,dead,47,(40_50],52
112,2665,,class3,female,Cherbourgherbourg,dead,14.5,(10_20],14.4542
113,324669,,class3,male,Southampton,dead,22,(20_30],8.05
114,4136,,class3,female,Southampton,dead,20,(10_20],9.825
115,2627,,class3,female,Cherbourgherbourg,dead,17,(10_20],14.4583
116,STON/O 2. 3101294,,class3,male,Southampton,dead,21,(20_30],7.925
117,370369,,class3,male,Queenstown,dead,70.5,NA,7.75
118,11668,,class2,male,Southampton,dead,29,(20_30],21
119,PC 17558,B58 B60,class1,male,Cherbourgherbourg,dead,24,(20_30],247.5208
120,347082,,class3,female,Southampton,dead,2,(0_10],31.275
121,S.O.C. 14879,,class2,male,Southampton,dead,21,(20_30],73.5
122,A4. 54510,,class3,male,Southampton,dead,0,NA,8.05
123,237736,,class2,male,Cherbourgherbourg,dead,32.5,(30_40],30.0708
124,27267,E101,class2,female,Southampton,survival,32.5,(30_40],13
125,35281,D26,class1,male,Southampton,dead,54,(50_60],77.2875
126,2651,,class3,male,Cherbourgherbourg,survival,12,(10_20],11.2417
127,370372,,class3,male,Queenstown,dead,0,NA,7.75
128,C 17369,,class3,male,Southampton,survival,24,(20_30],7.1417
129,2668,F E69,class3,female,Cherbourgherbourg,survival,0,NA,22.3583
130,347061,,class3,male,Southampton,dead,45,(40_50],6.975
131,349241,,class3,male,Cherbourgherbourg,dead,33,(30_40],7.8958
132,SOTON/O.Q. 3101307,,class3,male,Southampton,dead,20,(10_20],7.05
133,A/5. 3337,,class3,female,Southampton,dead,47,(40_50],14.5
134,228414,,class2,female,Southampton,survival,29,(20_30],26
135,C.A. 29178,,class2,male,Southampton,dead,25,(20_30],13
136,SC/PARIS 2133,,class2,male,Cherbourgherbourg,dead,23,(20_30],15.0458
137,11752,D47,class1,female,Southampton,survival,19,(10_20],26.2833
138,113803,C123,class1,male,Southampton,dead,37,(30_40],53.1
139,7534,,class3,male,Southampton,dead,16,(10_20],9.2167
140,PC 17593,B86,class1,male,Cherbourgherbourg,dead,24,(20_30],79.2
141,2678,,class3,female,Cherbourgherbourg,dead,0,NA,15.2458
142,347081,,class3,female,Southampton,survival,22,(20_30],7.75
143,STON/O2. 3101279,,class3,female,Southampton,survival,24,(20_30],15.85
144,365222,,class3,male,Queenstown,dead,19,(10_20],6.75
145,231945,,class2,male,Southampton,dead,18,(10_20],11.5
146,C.A. 33112,,class2,male,Southampton,dead,19,(10_20],36.75
147,350043,,class3,male,Southampton,survival,27,(20_30],7.7958
148,W./C. 6608,,class3,female,Southampton,dead,9,(0_10],34.375
149,230080,F2,class2,male,Southampton,dead,36.5,(30_40],26
150,244310,,class2,male,Southampton,dead,42,(40_50],13
151,S.O.P. 1166,,class2,male,Southampton,dead,51,(50_60],12.525
152,113776,C2,class1,female,Southampton,survival,22,(20_30],66.6
153,A.5. 11206,,class3,male,Southampton,dead,55.5,(50_60],8.05
154,A/5. 851,,class3,male,Southampton,dead,40.5,(40_50],14.5
155,Fa 265302,,class3,male,Southampton,dead,0,NA,7.3125
156,PC 17597,,class1,male,Cherbourgherbourg,dead,51,(50_60],61.3792
157,35851,,class3,female,Queenstown,survival,16,(10_20],7.7333
158,SOTON/OQ 392090,,class3,male,Southampton,dead,30,(20_30],8.05
159,315037,,class3,male,Southampton,dead,0,NA,8.6625
160,CA. 2343,,class3,male,Southampton,dead,0,NA,69.55
161,371362,,class3,male,Southampton,dead,44,(40_50],16.1
162,C.A. 33595,,class2,female,Southampton,survival,40,(30_40],15.75
163,347068,,class3,male,Southampton,dead,26,(20_30],7.775
164,315093,,class3,male,Southampton,dead,17,(10_20],8.6625
165,3101295,,class3,male,Southampton,dead,1,(0_10],39.6875
166,363291,,class3,male,Southampton,survival,9,(0_10],20.525
167,113505,E33,class1,female,Southampton,survival,0,NA,55
168,347088,,class3,female,Southampton,dead,45,(40_50],27.9
169,PC 17318,,class1,male,Southampton,dead,0,NA,25.925
170,1601,,class3,male,Southampton,dead,28,(20_30],56.4958
171,111240,B19,class1,male,Southampton,dead,61,NA,33.5
172,382652,,class3,male,Queenstown,dead,4,(0_10],29.125
173,347742,,class3,female,Southampton,survival,1,(0_10],11.1333
174,STON/O 2. 3101280,,class3,male,Southampton,dead,21,(20_30],7.925
175,17764,A7,class1,male,Cherbourgherbourg,dead,56,(50_60],30.6958
176,350404,,class3,male,Southampton,dead,18,(10_20],7.8542
177,4133,,class3,male,Southampton,dead,0,NA,25.4667
178,PC 17595,C49,class1,female,Cherbourgherbourg,dead,50,(40_50],28.7125
179,250653,,class2,male,Southampton,dead,30,(20_30],13
180,LINE,,class3,male,Southampton,dead,36,(30_40],0
181,CA. 2343,,class3,female,Southampton,dead,0,NA,69.55
182,SC/PARIS 2131,,class2,male,Cherbourgherbourg,dead,0,NA,15.05
183,347077,,class3,male,Southampton,dead,9,(0_10],31.3875
184,230136,F4,class2,male,Southampton,survival,1,(0_10],39
185,315153,,class3,female,Southampton,survival,4,(0_10],22.025
186,113767,A32,class1,male,Southampton,dead,0,NA,50
187,370365,,class3,female,Queenstown,survival,0,NA,15.5
188,111428,,class1,male,Southampton,survival,45,(40_50],26.55
189,364849,,class3,male,Queenstown,dead,40,(30_40],15.5
190,349247,,class3,male,Southampton,dead,36,(30_40],7.8958
191,234604,,class2,female,Southampton,survival,32,(30_40],13
192,28424,,class2,male,Southampton,dead,19,(10_20],13
193,350046,,class3,female,Southampton,survival,19,(10_20],7.8542
194,230080,F2,class2,male,Southampton,survival,3,(0_10],26
195,PC 17610,B4,class1,female,Cherbourgherbourg,survival,44,(40_50],27.7208
196,PC 17569,B80,class1,female,Cherbourgherbourg,survival,58,(50_60],146.5208
197,368703,,class3,male,Queenstown,dead,0,NA,7.75
198,4579,,class3,male,Southampton,dead,42,(40_50],8.4042
199,370370,,class3,female,Queenstown,survival,0,NA,7.75
200,248747,,class2,female,Southampton,dead,24,(20_30],13
201,345770,,class3,male,Southampton,dead,28,(20_30],9.5
202,CA. 2343,,class3,male,Southampton,dead,0,NA,69.55
203,3101264,,class3,male,Southampton,dead,34,(30_40],6.4958
204,2628,,class3,male,Cherbourgherbourg,dead,45.5,(40_50],7.225
205,A/5 3540,,class3,male,Southampton,survival,18,(10_20],8.05
206,347054,G6,class3,female,Southampton,dead,2,(0_10],10.4625
207,3101278,,class3,male,Southampton,dead,32,(30_40],15.85
208,2699,,class3,male,Cherbourgherbourg,survival,26,(20_30],18.7875
209,367231,,class3,female,Queenstown,survival,16,(10_20],7.75
210,112277,A31,class1,male,Cherbourgherbourg,survival,40,(30_40],31
211,SOTON/O.Q. 3101311,,class3,male,Southampton,dead,24,(20_30],7.05
212,F.C.C. 13528,,class2,female,Southampton,survival,35,(30_40],21
213,A/5 21174,,class3,male,Southampton,dead,22,(20_30],7.25
214,250646,,class2,male,Southampton,dead,30,(20_30],13
215,367229,,class3,male,Queenstown,dead,0,NA,7.75
216,35273,D36,class1,female,Cherbourgherbourg,survival,31,(30_40],113.275
217,STON/O2. 3101283,,class3,female,Southampton,survival,27,(20_30],7.925
218,243847,,class2,male,Southampton,dead,42,(40_50],27
219,11813,D15,class1,female,Cherbourgherbourg,survival,32,(30_40],76.2917
220,W/C 14208,,class2,male,Southampton,dead,30,(20_30],10.5
221,SOTON/OQ 392089,,class3,male,Southampton,survival,16,(10_20],8.05
222,220367,,class2,male,Southampton,dead,27,(20_30],13
223,21440,,class3,male,Southampton,dead,51,(50_60],8.05
224,349234,,class3,male,Southampton,dead,0,NA,7.8958
225,19943,C93,class1,male,Southampton,survival,38,(30_40],90
226,PP 4348,,class3,male,Southampton,dead,22,(20_30],9.35
227,SW/PP 751,,class2,male,Southampton,survival,19,(10_20],10.5
228,A/5 21173,,class3,male,Southampton,dead,20.5,(20_30],7.25
229,236171,,class2,male,Southampton,dead,18,(10_20],13
230,4133,,class3,female,Southampton,dead,0,NA,25.4667
231,36973,C83,class1,female,Southampton,survival,35,(30_40],83.475
232,347067,,class3,male,Southampton,dead,29,(20_30],7.775
233,237442,,class2,male,Southampton,dead,59,(50_60],13.5
234,347077,,class3,female,Southampton,survival,5,(0_10],31.3875
235,C.A. 29566,,class2,male,Southampton,dead,24,(20_30],10.5
236,W./C. 6609,,class3,female,Southampton,dead,0,NA,7.55
237,26707,,class2,male,Southampton,dead,44,(40_50],26
238,C.A. 31921,,class2,female,Southampton,survival,8,(0_10],26.25
239,28665,,class2,male,Southampton,dead,19,(10_20],10.5
240,SCO/W 1585,,class2,male,Southampton,dead,33,(30_40],12.275
241,2665,,class3,female,Cherbourgherbourg,dead,0,NA,14.4542
242,367230,,class3,female,Queenstown,survival,0,NA,15.5
243,W./C. 14263,,class2,male,Southampton,dead,29,(20_30],10.5
244,STON/O 2. 3101275,,class3,male,Southampton,dead,22,(20_30],7.125
245,2694,,class3,male,Cherbourgherbourg,dead,30,(20_30],7.225
246,19928,C78,class1,male,Queenstown,dead,44,(40_50],90
247,347071,,class3,female,Southampton,dead,25,(20_30],7.775
248,250649,,class2,female,Southampton,survival,24,(20_30],14.5
249,11751,D35,class1,male,Southampton,survival,37,(30_40],52.5542
250,244252,,class2,male,Southampton,dead,54,(50_60],26
251,362316,,class3,male,Southampton,dead,0,NA,7.25
252,347054,G6,class3,female,Southampton,dead,29,(20_30],10.4625
253,113514,C87,class1,male,Southampton,dead,62,NA,26.55
254,A/5. 3336,,class3,male,Southampton,dead,30,(20_30],16.1
255,370129,,class3,female,Southampton,dead,41,(40_50],20.2125
256,2650,,class3,female,Cherbourgherbourg,survival,29,(20_30],15.2458
257,PC 17585,,class1,female,Cherbourgherbourg,survival,0,NA,79.2
258,110152,B77,class1,female,Southampton,survival,30,(20_30],86.5
259,PC 17755,,class1,female,Cherbourgherbourg,survival,35,(30_40],512.3292
260,230433,,class2,female,Southampton,survival,50,(40_50],26
261,384461,,class3,male,Queenstown,dead,0,NA,7.75
262,347077,,class3,male,Southampton,survival,3,(0_10],31.3875
263,110413,E67,class1,male,Southampton,dead,52,(50_60],79.65
264,112059,B94,class1,male,Southampton,dead,40,(30_40],0
265,382649,,class3,female,Queenstown,dead,0,NA,7.75
266,C.A. 17248,,class2,male,Southampton,dead,36,(30_40],10.5
267,3101295,,class3,male,Southampton,dead,16,(10_20],39.6875
268,347083,,class3,male,Southampton,survival,25,(20_30],7.775
269,PC 17582,C125,class1,female,Southampton,survival,58,(50_60],153.4625
270,PC 17760,C99,class1,female,Southampton,survival,35,(30_40],135.6333
271,113798,,class1,male,Southampton,dead,0,NA,31
272,LINE,,class3,male,Southampton,survival,25,(20_30],0
273,250644,,class2,female,Southampton,survival,41,(40_50],19.5
274,PC 17596,C118,class1,male,Cherbourgherbourg,dead,37,(30_40],29.7
275,370375,,class3,female,Queenstown,survival,0,NA,7.75
276,13502,D7,class1,female,Southampton,survival,63,NA,77.9583
277,347073,,class3,female,Southampton,dead,45,(40_50],7.75
278,239853,,class2,male,Southampton,dead,0,NA,0
279,382652,,class3,male,Queenstown,dead,7,(0_10],29.125
280,C.A. 2673,,class3,female,Southampton,survival,35,(30_40],20.25
281,336439,,class3,male,Queenstown,dead,65,NA,7.75
282,347464,,class3,male,Southampton,dead,28,(20_30],7.8542
283,345778,,class3,male,Southampton,dead,16,(10_20],9.5
284,A/5. 10482,,class3,male,Southampton,survival,19,(10_20],8.05
285,113056,A19,class1,male,Southampton,dead,0,NA,26
286,349239,,class3,male,Cherbourgherbourg,dead,33,(30_40],8.6625
287,345774,,class3,male,Southampton,survival,30,(20_30],9.5
288,349206,,class3,male,Southampton,dead,22,(20_30],7.8958
289,237798,,class2,male,Southampton,survival,42,(40_50],13
290,370373,,class3,female,Queenstown,survival,22,(20_30],7.75
291,19877,,class1,female,Southampton,survival,26,(20_30],78.85
292,11967,B49,class1,female,Cherbourgherbourg,survival,19,(10_20],91.0792
293,SC/Paris 2163,D,class2,male,Cherbourgherbourg,dead,36,(30_40],12.875
294,349236,,class3,female,Southampton,dead,24,(20_30],8.85
295,349233,,class3,male,Southampton,dead,24,(20_30],7.8958
296,PC 17612,,class1,male,Cherbourgherbourg,dead,0,NA,27.7208
297,2693,,class3,male,Cherbourgherbourg,dead,23.5,(20_30],7.2292
